Topic:,Problem: ,Link :,Index
Binary Search Trees,Flatten BST to sorted list,https://www.geeksforgeeks.org/flatten-bst-to-sorted-list-increasing-order/,21
,,,
,,,
Greedy,Activity Selection Problem,https://practice.geeksforgeeks.org/problems/n-meetings-in-one-room/0,0
Greedy,Job SequencingProblem,https://practice.geeksforgeeks.org/problems/job-sequencing-problem/0,1
Greedy,Huffman Coding,https://practice.geeksforgeeks.org/problems/huffman-encoding/0,2
Greedy,Water Connection Problem,https://practice.geeksforgeeks.org/problems/water-connection-problem/0,3
Greedy,Fractional Knapsack Problem,https://practice.geeksforgeeks.org/problems/fractional-knapsack/0,4
Greedy,Greedy Algorithm to find Minimum number of Coins,https://practice.geeksforgeeks.org/problems/coin-piles/0,5
Greedy,Maximum trains for which stoppage can be provided,https://www.geeksforgeeks.org/maximum-trains-stoppage-can-provided/,6
Greedy,Minimum Platforms Problem,https://practice.geeksforgeeks.org/problems/minimum-platforms/0,7
Greedy,Buy Maximum Stocks if i stocks can be bought on i-th day,https://www.geeksforgeeks.org/buy-maximum-stocks-stocks-can-bought-th-day/,8
Greedy,Find the minimum and maximum amount to buy all N candies,https://practice.geeksforgeeks.org/problems/shop-in-candy-store/0,9
Greedy,Minimize Cash Flow among a given set of friends who have borrowed money from each other,https://www.geeksforgeeks.org/minimize-cash-flow-among-given-set-friends-borrowed-money/,10
Greedy,Minimum Cost to cut a board into squares,https://www.geeksforgeeks.org/minimum-cost-cut-board-squares/,11
Greedy,Check if it is possible to survive on Island,https://www.geeksforgeeks.org/survival/,12
Greedy,Find maximum meetings in one room,https://www.geeksforgeeks.org/find-maximum-meetings-in-one-room/,13
Greedy,Maximum product subset of an array,https://www.geeksforgeeks.org/maximum-product-subset-array/,14
Greedy,Maximize array sum after K negations,https://practice.geeksforgeeks.org/problems/maximize-sum-after-k-negations/0,15
Greedy,Maximize the sum of arr[i]*i,https://practice.geeksforgeeks.org/problems/maximize-arrii-of-an-array/0,16
Greedy,Maximum sum of absolute difference of an array,https://www.geeksforgeeks.org/maximum-sum-absolute-difference-array/,17
Greedy,Maximize sum of consecutive differences in a circular array,https://practice.geeksforgeeks.org/problems/swap-and-maximize/0,18
Greedy,Minimum sum of absolute difference of pairs of two arrays,https://www.geeksforgeeks.org/minimum-sum-absolute-difference-pairs-two-arrays/,19
Greedy,Program for Shortest Job First (or SJF) CPU Scheduling,https://www.geeksforgeeks.org/program-for-shortest-job-first-or-sjf-cpu-scheduling-set-1-non-preemptive/,20
Greedy,Program for Least Recently Used (LRU) Page Replacement algorithm,https://practice.geeksforgeeks.org/problems/page-faults-in-lru/0,21
Greedy,Smallest subset with sum greater than all other elements,https://www.geeksforgeeks.org/smallest-subset-sum-greater-elements/,22
Greedy,Chocolate Distribution Problem,https://practice.geeksforgeeks.org/problems/chocolate-distribution-problem/0,23
Greedy,DEFKIN -Defense of a Kingdom,https://www.spoj.com/problems/DEFKIN/,24
Greedy,DIEHARD -DIE HARD,https://www.spoj.com/problems/DIEHARD/,25
Greedy,GERGOVIA -Wine trading in Gergovia,https://www.spoj.com/problems/GERGOVIA/,26
Greedy,Picking Up Chicks,https://www.spoj.com/problems/GCJ101BB/,27
Greedy,CHOCOLA –Chocolate,https://www.spoj.com/problems/CHOCOLA/,28
Greedy,ARRANGE -Arranging Amplifiers,https://www.spoj.com/problems/ARRANGE/,29
Greedy,K Centers Problem,https://www.geeksforgeeks.org/k-centers-problem-set-1-greedy-approximate-algorithm/,30
Greedy,Minimum Cost of ropes,https://practice.geeksforgeeks.org/problems/minimum-cost-of-ropes/0,31
Greedy,Find smallest number with given number of digits and sum of digits,https://practice.geeksforgeeks.org/problems/smallest-number5829/1,32
Greedy,Rearrange characters in a string such that no two adjacent are same,https://practice.geeksforgeeks.org/problems/rearrange-characters/0,33
Greedy,Find maximum sum possible equal sum of three stacks,https://www.geeksforgeeks.org/find-maximum-sum-possible-equal-sum-three-stacks/,34
,,,
,,,
BackTracking,Rat in a maze Problem,https://practice.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,0
BackTracking,Printing all solutions in N-Queen Problem,https://www.geeksforgeeks.org/printing-solutions-n-queen-problem/,1
BackTracking,Word Break Problem using Backtracking,https://practice.geeksforgeeks.org/problems/word-break-part-2/0,2
BackTracking,Remove Invalid Parentheses,https://leetcode.com/problems/remove-invalid-parentheses/,3
BackTracking,Sudoku Solver,https://practice.geeksforgeeks.org/problems/solve-the-sudoku/0,4
BackTracking,m Coloring Problem,https://practice.geeksforgeeks.org/problems/m-coloring-problem/0,5
BackTracking,Print all palindromic partitions of a string,https://www.geeksforgeeks.org/given-a-string-print-all-possible-palindromic-partition/,6
BackTracking,Subset Sum Problem,https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1,7
BackTracking,The Knight’s tour problem,https://www.geeksforgeeks.org/the-knights-tour-problem-backtracking-1/,8
BackTracking,Tug of War,https://www.geeksforgeeks.org/tug-of-war/,9
BackTracking,Find shortest safe route in a path with landmines,https://www.geeksforgeeks.org/find-shortest-safe-route-in-a-path-with-landmines/,10
BackTracking,Combinational Sum,https://practice.geeksforgeeks.org/problems/combination-sum/0,11
BackTracking,Find Maximum number possible by doing at-most K swaps,https://practice.geeksforgeeks.org/problems/largest-number-in-k-swaps/0,12
BackTracking,Print all permutations of a string ,https://practice.geeksforgeeks.org/problems/permutations-of-a-given-string/0,13
BackTracking,Find if there is a path of more than k length from a source,https://www.geeksforgeeks.org/find-if-there-is-a-path-of-more-than-k-length-from-a-source/,14
BackTracking,Longest Possible Route in a Matrix with Hurdles,https://www.geeksforgeeks.org/longest-possible-route-in-a-matrix-with-hurdles/,15
BackTracking,Print all possible paths from top left to bottom right of a mXn matrix,https://www.geeksforgeeks.org/print-all-possible-paths-from-top-left-to-bottom-right-of-a-mxn-matrix/,16
BackTracking,Partition of a set intoK subsets with equal sum,https://practice.geeksforgeeks.org/problems/partition-array-to-k-subsets/1,17
BackTracking,Find the K-th Permutation Sequence of first N natural numbers,https://www.geeksforgeeks.org/find-the-k-th-permutation-sequence-of-first-n-natural-numbers/,18
,,,
,,,
Stacks & Queues, Implement Stack from Scratch,https://www.tutorialspoint.com/javaexamples/data_stack.htm,0
Stacks & Queues, Implement Queue from Scratch,https://www.geeksforgeeks.org/queue-set-1introduction-and-array-implementation/,1
Stacks & Queues,Implement 2 stack in an array,https://practice.geeksforgeeks.org/problems/implement-two-stacks-in-an-array/1,2
Stacks & Queues,find the middle element of a stack,https://www.geeksforgeeks.org/design-a-stack-with-find-middle-operation/,3
Stacks & Queues,"Implement ""N"" stacks in an Array",https://www.geeksforgeeks.org/efficiently-implement-k-stacks-single-array/,4
Stacks & Queues,Check the expression has valid or Balanced parenthesis or not.,https://practice.geeksforgeeks.org/problems/parenthesis-checker/0,5
Stacks & Queues,Reverse a String using Stack,https://practice.geeksforgeeks.org/problems/reverse-a-string-using-stack/1,6
Stacks & Queues,Design a Stack that supports getMin() in O(1) time and O(1) extra space.,https://practice.geeksforgeeks.org/problems/special-stack/1,7
Stacks & Queues,Find the next Greater element,https://practice.geeksforgeeks.org/problems/next-larger-element/0,8
Stacks & Queues,The celebrity Problem,https://practice.geeksforgeeks.org/problems/the-celebrity-problem/1,9
Stacks & Queues,Arithmetic Expression evaluation,https://www.geeksforgeeks.org/arithmetic-expression-evalution/,10
Stacks & Queues,Evaluation of Postfix expression,https://practice.geeksforgeeks.org/problems/evaluation-of-postfix-expression/0,11
Stacks & Queues,Implement a method to insert an element at its bottom without using any other data structure.,https://stackoverflow.com/questions/45130465/inserting-at-the-end-of-stack,12
Stacks & Queues,Reverse a stack using recursion,https://www.geeksforgeeks.org/reverse-a-stack-using-recursion/,13
Stacks & Queues,Sort a Stack using recursion,https://practice.geeksforgeeks.org/problems/sort-a-stack/1,14
Stacks & Queues,Merge Overlapping Intervals,https://practice.geeksforgeeks.org/problems/overlapping-intervals/0,15
Stacks & Queues,Largest rectangular Area in Histogram,https://practice.geeksforgeeks.org/problems/maximum-rectangular-area-in-a-histogram/0,16
Stacks & Queues,Length of the Longest Valid Substring,https://practice.geeksforgeeks.org/problems/valid-substring0624/1,17
Stacks & Queues,Expression contains redundant bracket or not,https://www.geeksforgeeks.org/expression-contains-redundant-bracket-not/,18
Stacks & Queues,Implement Stack using Queue,https://practice.geeksforgeeks.org/problems/stack-using-two-queues/1,19
Stacks & Queues,Implement Stack using Deque,https://www.geeksforgeeks.org/implement-stack-queue-using-deque/,20
Stacks & Queues,Stack Permutations (Check if an array is stack permutation of other),https://www.geeksforgeeks.org/stack-permutations-check-if-an-array-is-stack-permutation-of-other/,21
Stacks & Queues,Implement Queue using Stack  ,https://practice.geeksforgeeks.org/problems/queue-using-two-stacks/1,22
Stacks & Queues,"Implement ""n"" queue in an array",https://www.geeksforgeeks.org/efficiently-implement-k-queues-single-array/,23
Stacks & Queues,Implement a Circular queue,https://www.geeksforgeeks.org/circular-queue-set-1-introduction-array-implementation/,24
Stacks & Queues,LRU Cache Implementationa,https://practice.geeksforgeeks.org/problems/lru-cache/1,25
Stacks & Queues,Reverse a Queue using recursion,https://practice.geeksforgeeks.org/problems/queue-reversal/1,26
Stacks & Queues,Reverse the first “K” elements of a queue,https://practice.geeksforgeeks.org/problems/reverse-first-k-elements-of-queue/1,27
Stacks & Queues,Interleave the first half of the queue with second half,https://www.geeksforgeeks.org/interleave-first-half-queue-second-half/,28
Stacks & Queues,Find the first circular tour that visits all Petrol Pumps,https://practice.geeksforgeeks.org/problems/circular-tour/1,29
Stacks & Queues,Minimum time required to rot all oranges,https://practice.geeksforgeeks.org/problems/rotten-oranges/0,30
Stacks & Queues,Distance of nearest cell having 1 in a binary matrix,https://practice.geeksforgeeks.org/problems/distance-of-nearest-cell-having-1/0,31
Stacks & Queues,First negative integer in every window of size “k”,https://practice.geeksforgeeks.org/problems/first-negative-integer-in-every-window-of-size-k/0,32
Stacks & Queues,Check if all levels of two trees are anagrams or not.,https://www.geeksforgeeks.org/check-if-all-levels-of-two-trees-are-anagrams-or-not/,33
Stacks & Queues,Sum of minimum and maximum elements of all subarrays of size “k”.,https://www.geeksforgeeks.org/sum-minimum-maximum-elements-subarrays-size-k/,34
Stacks & Queues,Minimum sum of squares of character counts in a given string after removing “k” characters.,https://practice.geeksforgeeks.org/problems/game-with-string/0,35
Stacks & Queues,Queue based approach or first non-repeating character in a stream.,https://practice.geeksforgeeks.org/problems/first-non-repeating-character-in-a-stream/0,36
Stacks & Queues,Next Smaller Element,https://www.geeksforgeeks.org/next-smaller-element/,37
,,,
,,,
Heap,Implement a Maxheap/MinHeap using arrays and recursion.,https://www.geeksforgeeks.org/building-heap-from-array/,0
Heap,Sort an Array using heap. (HeapSort),https://www.geeksforgeeks.org/heap-sort/,1
Heap,Maximum of all subarrays of size k.,https://www.geeksforgeeks.org/sliding-window-maximum-maximum-of-all-subarrays-of-size-k/,2
Heap,“k” largest element in an array,https://practice.geeksforgeeks.org/problems/k-largest-elements4206/1,3
Heap,Kth smallest and largest element in an unsorted array,https://www.geeksforgeeks.org/kth-smallestlargest-element-unsorted-array/,4
Heap,Merge “K” sorted arrays. [ IMP ],https://practice.geeksforgeeks.org/problems/merge-k-sorted-arrays/1,5
Heap,Merge 2 Binary Max Heaps,https://practice.geeksforgeeks.org/problems/merge-two-binary-max-heap/0,6
Heap,Kth largest sum continuous subarrays,https://www.geeksforgeeks.org/k-th-largest-sum-contiguous-subarray/,7
Heap,Leetcode- reorganize strings,https://leetcode.com/problems/reorganize-string/,8
Heap,Merge “K” Sorted Linked Lists [V.IMP],https://practice.geeksforgeeks.org/problems/merge-k-sorted-linked-lists/1,9
Heap,Smallest range in “K” Lists,https://practice.geeksforgeeks.org/problems/find-smallest-range-containing-elements-from-k-lists/1,10
Heap,Median in a stream of Integers,https://practice.geeksforgeeks.org/problems/find-median-in-a-stream/0,11
Heap,Check if a Binary Tree is Heap,https://practice.geeksforgeeks.org/problems/is-binary-tree-heap/1,12
Heap,Connect “n” ropes with minimum cost,https://practice.geeksforgeeks.org/problems/minimum-cost-of-ropes/0,13
Heap,Convert BST to Min Heap,https://www.geeksforgeeks.org/convert-bst-min-heap/,14
Heap,Convert min heap to max heap,https://www.geeksforgeeks.org/convert-min-heap-to-max-heap/,15
Heap,Rearrange characters in a string such that no two adjacent are same.,https://practice.geeksforgeeks.org/problems/rearrange-characters/0,16
Heap,Minimum sum of two numbers formed from digits of an array,https://practice.geeksforgeeks.org/problems/minimum-sum4058/1,17
,,,
,,,
Graph,"Create a Graph, print it",https://1drv.ms/t/s!AqTOHFO77CqEiRua06v1PATyiFg5,0
Graph,Implement BFS algorithm ,https://practice.geeksforgeeks.org/problems/bfs-traversal-of-graph/1,1
Graph,Implement DFS Algo ,https://www.geeksforgeeks.org/depth-first-search-or-dfs-for-a-graph/,2
Graph,Detect Cycle in Directed Graph using BFS/DFS Algo ,https://www.geeksforgeeks.org/detect-cycle-in-a-graph/,3
Graph,Detect Cycle in UnDirected Graph using BFS/DFS Algo ,https://practice.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1,4
Graph,Search in a Maze,https://practice.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,5
Graph,Minimum Step by Knight,https://practice.geeksforgeeks.org/problems/steps-by-knight/0,6
Graph,flood fill algo,https://leetcode.com/problems/flood-fill/,7
Graph,Clone a graph,https://leetcode.com/problems/clone-graph/,8
Graph,Making wired Connections,https://leetcode.com/problems/number-of-operations-to-make-network-connected/,9
Graph,word Ladder ,https://leetcode.com/problems/word-ladder/,10
Graph,Dijkstra algo,https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm-greedy-algo-7/,11
Graph,Implement Topological Sort ,https://practice.geeksforgeeks.org/problems/topological-sort/1,12
Graph,Minimum time taken by each job to be completed given by a Directed Acyclic Graph,https://www.geeksforgeeks.org/minimum-time-taken-by-each-job-to-be-completed-given-by-a-directed-acyclic-graph/,13
Graph,Find whether it is possible to finish all tasks or not from given dependencies,https://www.geeksforgeeks.org/find-whether-it-is-possible-to-finish-all-tasks-or-not-from-given-dependencies/,14
Graph,Find the no. of Isalnds,https://practice.geeksforgeeks.org/problems/find-the-number-of-islands/1,15
Graph,"Given a sorted Dictionary of an Alien Language, find order of characters",https://practice.geeksforgeeks.org/problems/alien-dictionary/1,16
Graph,Implement Kruksal’sAlgorithm,https://www.geeksforgeeks.org/kruskals-minimum-spanning-tree-algorithm-greedy-algo-2/,17
Graph,Implement Prim’s Algorithm,https://www.geeksforgeeks.org/prims-minimum-spanning-tree-mst-greedy-algo-5/,18
Graph,Total no. of Spanning tree in a graph,https://www.geeksforgeeks.org/total-number-spanning-trees-graph/,19
Graph,Implement Bellman Ford Algorithm,https://practice.geeksforgeeks.org/problems/negative-weight-cycle/0,20
Graph,Implement Floyd warshallAlgorithm,https://practice.geeksforgeeks.org/problems/implementing-floyd-warshall/0,21
Graph,Travelling Salesman Problem,https://www.geeksforgeeks.org/travelling-salesman-problem-set-1/,22
Graph,Graph ColouringProblem,https://www.geeksforgeeks.org/graph-coloring-applications/,23
Graph,Snake and Ladders Problem,https://leetcode.com/problems/snakes-and-ladders/,24
Graph,Find bridge in a graph,https://www.geeksforgeeks.org/bridge-in-a-graph/,25
Graph,Count Strongly connected Components(Kosaraju Algo),https://practice.geeksforgeeks.org/problems/strongly-connected-components-kosarajus-algo/1,26
Graph,Check whether a graph is Bipartite or Not,https://www.geeksforgeeks.org/bipartite-graph/,27
Graph,Detect Negative cycle in a graph,https://www.geeksforgeeks.org/detect-negative-cycle-graph-bellman-ford/,28
Graph,Longest path in a Directed Acyclic Graph,https://www.geeksforgeeks.org/find-longest-path-directed-acyclic-graph/,29
Graph,Journey to the Moon,https://www.hackerrank.com/challenges/journey-to-the-moon/problem,30
Graph,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/description/,31
Graph,Oliver and the Game,https://www.hackerearth.com/practice/algorithms/graphs/topological-sort/practice-problems/algorithm/oliver-and-the-game-3/,32
Graph,Water Jug problem using BFS,https://www.geeksforgeeks.org/water-jug-problem-using-bfs/,33
Graph,Water Jug problem using BFS,https://www.geeksforgeeks.org/water-jug-problem-using-bfs/,34
Graph,Find if there is a path of more thank length from a source,https://www.geeksforgeeks.org/find-if-there-is-a-path-of-more-than-k-length-from-a-source/,35
Graph,M-ColouringProblem,https://practice.geeksforgeeks.org/problems/m-coloring-problem/0,36
Graph,Minimum edges to reverse o make path from source to destination,https://www.geeksforgeeks.org/minimum-edges-reverse-make-path-source-destination/,37
Graph,Paths to travel each nodes using each edge(Seven Bridges),https://www.geeksforgeeks.org/paths-travel-nodes-using-edgeseven-bridges-konigsberg/,38
Graph,Vertex Cover Problem,https://www.geeksforgeeks.org/vertex-cover-problem-set-1-introduction-approximate-algorithm-2/,39
Graph,Chinese Postman or Route Inspection,https://www.geeksforgeeks.org/chinese-postman-route-inspection-set-1-introduction/,40
Graph,Number of Triangles in a Directed and Undirected Graph,https://www.geeksforgeeks.org/number-of-triangles-in-directed-and-undirected-graphs/,41
Graph,Minimise the cashflow among a given set of friends who have borrowed money from each other,https://www.geeksforgeeks.org/minimize-cash-flow-among-given-set-friends-borrowed-money/,42
Graph,Two Clique Problem,https://www.geeksforgeeks.org/two-clique-problem-check-graph-can-divided-two-cliques/,43
,,,
,,,
Trie,Construct a trie from scratch,https://www.geeksforgeeks.org/trie-insert-and-search/,0
Trie,Find shortest unique prefix for every word in a given list,https://www.geeksforgeeks.org/find-all-shortest-unique-prefixes-to-represent-each-word-in-a-given-list/,1
Trie,Word Break Problem | (Trie solution),https://www.geeksforgeeks.org/word-break-problem-trie-solution/,2
Trie,"Given a sequence of words, print all anagrams together",https://practice.geeksforgeeks.org/problems/k-anagrams-1/0,3
Trie,Implement a Phone Directory,https://practice.geeksforgeeks.org/problems/phone-directory/0,4
Trie,Print unique rows in a given boolean matrix,https://practice.geeksforgeeks.org/problems/unique-rows-in-boolean-matrix/1,5
,,,
,,,
Dynamic Programming,Coin ChangeProblem,https://practice.geeksforgeeks.org/problems/coin-change2448/1,0
Dynamic Programming,Knapsack Problem,https://practice.geeksforgeeks.org/problems/0-1-knapsack-problem/0,1
Dynamic Programming,Binomial CoefficientProblem,https://practice.geeksforgeeks.org/problems/ncr1019/1,2
Dynamic Programming,Permutation CoefficientProblem,https://www.geeksforgeeks.org/permutation-coefficient/,3
Dynamic Programming,Program for nth Catalan Number,https://www.geeksforgeeks.org/program-nth-catalan-number/,4
Dynamic Programming,Matrix Chain Multiplication ,https://www.geeksforgeeks.org/matrix-chain-multiplication-dp-8/,5
Dynamic Programming,Edit Distance,https://practice.geeksforgeeks.org/problems/edit-distance3702/1,6
Dynamic Programming,Subset Sum Problem,https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1,7
Dynamic Programming,Friends Pairing Problem,https://practice.geeksforgeeks.org/problems/friends-pairing-problem5425/1,8
Dynamic Programming,Gold Mine Problem,https://www.geeksforgeeks.org/gold-mine-problem/,9
Dynamic Programming,Assembly Line SchedulingProblem,https://www.geeksforgeeks.org/assembly-line-scheduling-dp-34/,10
Dynamic Programming,Painting the Fenceproblem,https://practice.geeksforgeeks.org/problems/painting-the-fence3727/1,11
Dynamic Programming,Maximize The Cut Segments,https://practice.geeksforgeeks.org/problems/cutted-segments/0,12
Dynamic Programming,Longest Common Subsequence,https://practice.geeksforgeeks.org/problems/longest-common-subsequence/0,13
Dynamic Programming,Longest Repeated Subsequence,https://practice.geeksforgeeks.org/problems/longest-repeating-subsequence/0,14
Dynamic Programming,Longest Increasing Subsequence,https://practice.geeksforgeeks.org/problems/longest-increasing-subsequence/0,15
Dynamic Programming,Space Optimized Solution of LCS,https://www.geeksforgeeks.org/space-optimized-solution-lcs/,16
Dynamic Programming,LCS (Longest Common Subsequence) of three strings,https://practice.geeksforgeeks.org/problems/lcs-of-three-strings/0,17
Dynamic Programming,Maximum Sum Increasing Subsequence,https://practice.geeksforgeeks.org/problems/maximum-sum-increasing-subsequence4749/1,18
Dynamic Programming,Count all subsequences having product less than K,https://www.geeksforgeeks.org/count-subsequences-product-less-k/,19
Dynamic Programming,Longest subsequence such that difference between adjacent is one,https://practice.geeksforgeeks.org/problems/longest-subsequence-such-that-difference-between-adjacents-is-one4724/1,20
Dynamic Programming,Maximum subsequence sum such that no three are consecutive,https://www.geeksforgeeks.org/maximum-subsequence-sum-such-that-no-three-are-consecutive/,21
Dynamic Programming,Egg Dropping Problem,https://practice.geeksforgeeks.org/problems/egg-dropping-puzzle/0,22
Dynamic Programming,Maximum Length Chain of Pairs,https://practice.geeksforgeeks.org/problems/max-length-chain/1,23
Dynamic Programming,Maximum size square sub-matrix with all 1s,https://practice.geeksforgeeks.org/problems/largest-square-formed-in-a-matrix/0,24
Dynamic Programming,Maximum sum of pairs with specific difference,https://practice.geeksforgeeks.org/problems/pairs-with-specific-difference/0,25
Dynamic Programming,Min Cost PathProblem,https://practice.geeksforgeeks.org/problems/path-in-matrix3805/1,26
Dynamic Programming,Maximum difference of zeros and ones in binary string,https://practice.geeksforgeeks.org/problems/maximum-difference-of-zeros-and-ones-in-binary-string4111/1,27
Dynamic Programming,Minimum number of jumps to reach end,https://practice.geeksforgeeks.org/problems/minimum-number-of-jumps/0,28
Dynamic Programming,Minimum cost to fill given weight in a bag,https://practice.geeksforgeeks.org/problems/minimum-cost-to-fill-given-weight-in-a-bag1956/1,29
Dynamic Programming,Minimum removals from array to make max –min <= K,https://www.geeksforgeeks.org/minimum-removals-array-make-max-min-k/,30
Dynamic Programming,Longest Common Substring,https://practice.geeksforgeeks.org/problems/longest-common-substring/0,31
Dynamic Programming,Count number of ways to reacha given score in a game,https://practice.geeksforgeeks.org/problems/reach-a-given-score/0,32
Dynamic Programming,Count Balanced Binary Trees of Height h,https://practice.geeksforgeeks.org/problems/bbt-counter/0,33
Dynamic Programming,LargestSum Contiguous Subarray [V>V>V>V IMP ],https://practice.geeksforgeeks.org/problems/kadanes-algorithm/0,34
Dynamic Programming,Smallest sum contiguous subarray,https://www.geeksforgeeks.org/smallest-sum-contiguous-subarray/,35
Dynamic Programming,Unbounded Knapsack (Repetition of items allowed),https://practice.geeksforgeeks.org/problems/knapsack-with-duplicate-items4201/1,36
Dynamic Programming,Word Break Problem,https://practice.geeksforgeeks.org/problems/word-break/0,37
Dynamic Programming,Largest Independent Set Problem,https://www.geeksforgeeks.org/largest-independent-set-problem-dp-26/,38
Dynamic Programming,Partition problem,https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1,39
Dynamic Programming,Longest Palindromic Subsequence,https://www.geeksforgeeks.org/longest-palindromic-subsequence-dp-12/,40
Dynamic Programming,Count All Palindromic Subsequence in a given String,https://practice.geeksforgeeks.org/problems/count-palindromic-subsequences/1,41
Dynamic Programming,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,42
Dynamic Programming,Longest alternating subsequence,https://practice.geeksforgeeks.org/problems/longest-alternating-subsequence/0,43
Dynamic Programming,Weighted Job Scheduling,https://www.geeksforgeeks.org/weighted-job-scheduling/,44
Dynamic Programming,Coin game winner where every player has three choices,https://www.geeksforgeeks.org/coin-game-winner-every-player-three-choices/,45
Dynamic Programming,Count Derangements (Permutation such that no element appears in its original position) [ IMPORTANT ],https://www.geeksforgeeks.org/count-derangements-permutation-such-that-no-element-appears-in-its-original-position/,46
Dynamic Programming,Maximum profit by buying and selling a share at most twice [ IMP ],https://www.geeksforgeeks.org/maximum-profit-by-buying-and-selling-a-share-at-most-twice/,47
Dynamic Programming,Optimal Strategy for a Game,https://practice.geeksforgeeks.org/problems/optimal-strategy-for-a-game/0,48
Dynamic Programming,Optimal Binary Search Tree,https://www.geeksforgeeks.org/optimal-binary-search-tree-dp-24/,49
Dynamic Programming,Palindrome PartitioningProblem,https://practice.geeksforgeeks.org/problems/palindromic-patitioning4845/1,50
Dynamic Programming,Word Wrap Problem,https://practice.geeksforgeeks.org/problems/word-wrap/0,51
Dynamic Programming,Mobile Numeric Keypad Problem [ IMP ],https://practice.geeksforgeeks.org/problems/mobile-numeric-keypad5456/1,52
Dynamic Programming,Boolean Parenthesization Problem,https://practice.geeksforgeeks.org/problems/boolean-parenthesization/0,53
Dynamic Programming,Largest rectangular sub-matrix whose sum is 0,https://www.geeksforgeeks.org/largest-rectangular-sub-matrix-whose-sum-0/,54
Dynamic Programming,Largest area rectangular sub-matrix with equal number of 1’s and 0’s [ IMP ],https://www.geeksforgeeks.org/largest-area-rectangular-sub-matrix-equal-number-1s-0s/,55
Dynamic Programming,Maximum sum rectangle in a 2D matrix,https://practice.geeksforgeeks.org/problems/maximum-sum-rectangle/0,56
Dynamic Programming,Maximum profit by buying and selling a share at most k times,https://practice.geeksforgeeks.org/problems/maximum-profit4657/1,57
Dynamic Programming,Find if a string is interleaved of two other strings,https://practice.geeksforgeeks.org/problems/interleaved-strings/1,58
Dynamic Programming,Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain/,59
,,,
,,,
Bit Manipulation,Count set bits in an integer,https://practice.geeksforgeeks.org/problems/set-bits0143/1,0
Bit Manipulation,Find the two non-repeating elements in an array of repeating elements,https://practice.geeksforgeeks.org/problems/finding-the-numbers0215/1,1
Bit Manipulation,Count number of bits to be flipped to convert A to B,https://practice.geeksforgeeks.org/problems/bit-difference/0,2
Bit Manipulation,Count total set bits in all numbers from 1 to n,https://practice.geeksforgeeks.org/problems/count-total-set-bits/0,3
Bit Manipulation,Program to find whether a no is power of two,https://practice.geeksforgeeks.org/problems/power-of-2/0,4
Bit Manipulation,Find position of the only set bit,https://practice.geeksforgeeks.org/problems/find-position-of-set-bit3706/1,5
Bit Manipulation,Copy set bits in a range,https://www.geeksforgeeks.org/copy-set-bits-in-a-range/,6
Bit Manipulation,"Divide two integers without using multiplication, division and mod operator",https://www.geeksforgeeks.org/divide-two-integers-without-using-multiplication-division-mod-operator/,7
Bit Manipulation,"Calculate square of a number without using *, / and pow()",https://www.geeksforgeeks.org/calculate-square-of-a-number-without-using-and-pow/,8
Bit Manipulation,Power Set,https://practice.geeksforgeeks.org/problems/power-set4302/1,9
